chrAll chrX chrY Label
Chondrocyte_day07_Maass.run22 0.0510347494724254 0.0471051322795861 0.0133078001164302 female
Chondrocyte_day07_Maass.run23 0.0511544455083613 0.0471701665130798 0.0133470295661616 female
Chondrocyte_day07_Maass.run24 0.0486822486827619 0.0448003838993617 0.0125289076922311 female
Chondrocyte_day07_Maass.run3 0.0428830902737301 0.0400505136810449 0.0120929977354385 female
Chondrocyte_day07_Maass.run4 0.0424541708319928 0.0396541047781096 0.0118481325777165 female
Chondrocyte_day07_Maass.run5 0.0471612085460997 0.0439995938244266 0.0133455093157711 female
Chondrocyte_day07_Maass.run6 0.0472651263536417 0.0440927873427027 0.0134036632617427 female
Chondrocyte_day07_Maass.run7 0.0473392071207702 0.0441229204690219 0.0134166290754178 female
Chondrocyte_day07_Maass.run8 0.0469534381583999 0.0437576444303271 0.0132234174826873 female
Chondrocyte_day07_Maass.run9 0.0572145838018751 0.0528674550347843 0.0154084541473697 female
Chondrocyte_day14_Maass.run1 0.0658423824820863 0.0567531735831174 0.0215354651262861 female
Chondrocyte_day14_Maass.run10 0.0485374148199584 0.0470756528280615 0.0139873520409755 female
Chondrocyte_day14_Maass.run11 0.0475427803893391 0.0461283306533201 0.0135944110003921 female
Chondrocyte_day14_Maass.run12 0.0495274610250974 0.0480561586114973 0.014993373368341 female
Chondrocyte_day14_Maass.run13 0.0498053817185016 0.048209099287722 0.0150854795730333 female
Chondrocyte_day14_Maass.run14 0.0498589467083627 0.0482937501736323 0.015105469991961 female
Chondrocyte_day14_Maass.run15 0.0503792873711342 0.0488447723912375 0.0149923249197959 female
Chondrocyte_day14_Maass.run16 0.0417857947341655 0.0409300203001271 0.0121726972990131 female
Chondrocyte_day14_Maass.run17 0.0419253732993572 0.0410230087439578 0.0122053739453372 female
Chondrocyte_day14_Maass.run18 0.0420322619917362 0.0411560059303685 0.0122439044293718 female
Chondrocyte_day14_Maass.run19 0.0412064212810035 0.0403129064339191 0.0119247392180828 female
Chondrocyte_day14_Maass.run2 0.0660992281707438 0.0569844206545983 0.0216607547274327 female
